name,tag,region,rr,rank,puuid
Little Giant,kauãz,ap,307,1434,77f1b2b9-597b-5b98-90e8-b71260cea8fb
NandingEscalante,9554,ap,305,1446,b7ccace6-fb43-5b32-bfce-607cf58c597a
JSTR berries,jam,ap,300,1494,da2b6aeb-b3ad-5783-8451-041ef27933de
偽善の世界,Love,ap,281,1640,d7b6d64f-80e9-520c-bf26-f60aa6e03b7b
akihiro,0224,ap,276,1714,f6220c7e-5d33-5925-bf37-2d3181be123d
ぴっちょ,0347,ap,264,1838,4997f419-c2db-52bd-9759-8d37043735f3
李嘉图,腚眼聋,ap,259,1895,270896bf-86d5-50e7-bb92-b3a398e996f2
つかさくん,放課後少年,ap,259,1896,71393291-c8cc-51a5-8b0a-19b42cfade0a
Xiangシ,1314,ap,257,1923,90bb4c3b-4ecb-530a-aa0a-08a3cf26066f
Focus on me,srCL,ap,255,1948,13df4388-9a1a-5f4e-998f-0c464ef3d7bb
NiceHacks,000,ap,254,1971,a21f3043-f115-542f-9cfd-53dd9668a9aa
Kimi ANTONELLI,W16 E,ap,250,2021,b561b932-303b-546c-b2bb-bb71f945bcfe
dimitri k,mdm4,ap,249,2050,6635448a-8e41-5430-beaf-f1376d581e4a
Laevatain,zhj,ap,247,2067,5b4bdb80-4139-5ca7-9e73-7bd0845a0291
JaLermK07,0702,ap,242,2133,55627638-8b35-550e-8564-7e9cd7b34b21
зенит ﾒ,333,ap,241,2146,76434cd8-fca4-57df-a594-0d94831f3aa0
eating,6767,ap,239,2164,d5b6d61d-bcd3-5941-94ed-da208b1052d1
lvr,300,ap,237,2191,d1a18168-0981-526e-ae93-01672f0bf5cf
Dazindahouse,2810,ap,237,2199,1d3f1f41-698b-560b-b350-a8fc1b8172bf
Wave,Jx2,ap,232,2252,ee94e096-c4a7-5b85-8f64-c52847f28774
Calypso,ppp,ap,232,2258,dd3f18a9-06c3-5849-ad35-10bf306a3271
BARO SHOEI,브로스키,ap,231,2269,1f59f0f7-5b0b-549b-b9ff-9f20a55c67f0
t1nkerxD,画眉丸丸丸,ap,226,2315,52dcdd4a-8695-52bf-a7ac-3d2359028a0f
PRX Someday,999,ap,225,2351,40ed149d-f50f-5872-b29c-bdb20120260c
DEATH NOTE,nocap,ap,222,2381,b830aefe-954f-5438-96df-8078c774f2c1
K1tD,2808,ap,216,2483,c7835e08-08a6-5cf2-bdc3-01d574e04899
Yozera,risa1,ap,213,2541,d3c2dfbd-78da-56c2-bcd8-547a11c18829
Gojo,neji,ap,212,2557,e8466573-4167-5a9c-a3c8-8d1b07b0af06
Juggy,Mouse,ap,212,2565,5c576b44-4ff1-5826-85b2-1b9c7f3dc502
precisegunplayer,ICN,ap,209,2640,d4412d77-a5f7-5ff1-800b-997992705323
POPA TERMI,HCH,ap,209,2645,a6e8e2fe-c74f-5c12-965e-616b0fe8b961
MigssOnYoutube,Migss,ap,208,2678,a782b991-cc91-53d5-9068-4b30ba5e3622
swag,x   x,ap,206,2731,4608fd62-9426-5cd8-b367-460e158e169d
AIMБАТАРЕЯ,我很冷,ap,206,2742,c194511a-ba7b-55b8-a3c4-709ca684e604
squirtl,111,ap,204,2797,a52f92be-358e-5bf4-a9ee-5dae44a11d79
Rice Shower,Elna,ap,204,2800,22bcd930-040f-5c30-91b9-16f69ed68db2
CURSEviL,od09,ap,203,2836,0bffb2db-8bbb-5325-b5fc-150d068ceb60
CORTISOL SPIKER,RICQI,ap,201,2892,5c62e286-4d9b-52e4-b680-c5cd15f6c12a
魏志轩轩轩轩轩轩轩轩轩轩轩轩轩轩,2007,ap,200,2902,332e503e-55ff-5643-ab01-291537b0cfb9
无脑开枪,小狗小狗,ap,199,2929,6023f144-6c63-54a9-82d4-b52624c70d85
itwasntmeitwas,kaza,ap,199,2933,8fbe6a26-bc0f-5052-b754-2aba08ee42ae
tomatv225,5702,ap,199,2939,f79f076e-b16f-5f8d-974a-d744d8fabec5
Pat,vell詩,ap,199,2940,0f93e205-cde3-5088-a78a-ad2c60d22ae2
足の裏が板です,6767,ap,194,3013,78edc673-e246-5ca8-a392-ded74f5cc737
SUSHIBIGEATER,もぐじん,ap,191,3061,a339ebf1-a8e5-59fd-9a77-b83bd82fa6cc
jiwoo from nmixx,sss,ap,189,3092,5df24aa1-e022-5e29-854e-d7d3940b6cf3
Xer0,XXX,ap,187,3124,2ce74791-896a-53e7-8ba3-86ff045944af
gyenWoo,0110,ap,186,3144,6cc1c322-185e-5b8b-9321-b619f102321d
ENEV,GOAT,ap,185,3161,7f0d7a01-bba7-5f4e-85a4-461c2b97302d
SIGMA BOY,seima,ap,182,3210,3bf648ce-863f-5c4e-bf49-1fd955690295
Mitsuha三葉,121,ap,181,3227,a9a678d4-3da4-5a16-a71f-8cb36586625e
Avoidant,C21,ap,179,3275,d65dad97-e9d6-5389-aa09-3b6e3f6d8c41
HOME,HAMAC,ap,177,3313,336ddee6-b25d-564e-abac-f7c81d83e115
pororo,peng,ap,174,3388,48690764-022f-5445-9165-2bfaad463f23
アナﾉﾚ,あぬす,ap,174,3392,bdf4757d-978c-5b3d-a6f6-634a823df51e
محمد,ابوك,ap,173,3400,ca3028fd-038c-5017-b0dd-3dd4a03c4cda
SGG Bo2k4,1709,ap,172,3429,401949ae-bbb7-5b0f-a7e8-024d2d54bdbb
TMTK,1477,ap,171,3468,535d7390-9ef8-5ccc-9ba1-06e57de857ac
nanashi,0430,ap,170,3474,07b75077-332a-5481-a250-5d3e3fdf8b5b
PATA  THE NOVAゆ機,無伝説建設,ap,170,3498,cd70e595-21aa-5451-b42e-2b4db27c8486
てって,4422,ap,169,3529,2b36323f-c237-5cd6-94e3-a604987d8f08
ともゆき,2004,ap,168,3557,1f675ce6-a722-5146-ac75-fb36f5293f68
emo princess,1111,ap,167,3581,3fb38e28-7182-5a91-877e-a2c2739a5839
pawka,ixo,ap,166,3585,a5b5ad4b-ede1-5eb5-8d33-f5de6f068f7a
FUR SWIFTLOVER,eeiu,ap,165,3611,9bd2b8c5-4899-5202-9189-2887bcabd33d
53kg xtra virgin,178cm,ap,163,3678,a1d47c8f-7bef-509b-944a-a8ae9bd44825
s0uthtiger,al0ne,ap,163,3681,445e0522-c9aa-5962-b103-577f03e7facd
Qontra,onYT,ap,161,3740,9c3953f4-1049-5d68-bfce-0a6a42f094b6
xdEclipsee,ez123,ap,159,3774,4f61adf7-8dc7-553e-959c-01dd38625e7a
CHARIZARD,exey,ap,157,3813,bdd67d4c-16d5-5e8d-9c8d-99777e47fc1a
