name,tag,region,rr,rank,puuid
zzz,grind,eu,590,209,3343fe35-1b8a-5ad3-b6fe-e89f125f135a
blade,avp,eu,590,210,d1e3ab1f-cdf3-5b62-be6c-a990cdfb37f6
Dizzie,onepz,eu,589,211,3ca92ca3-81bd-5772-8f43-1941884ed898
inyourdreamss,12345,eu,589,212,7906e1c7-8a89-5f8f-91c6-e4969803afd2
delightful derek,chr1s,eu,587,213,cce592c9-bbea-5d8e-93a1-29f10115e013
KIWIBERRYYYYYYYY,lover,eu,586,214,e529b914-7408-50d4-a384-7376713098fb
flexi po patriky,xelos,eu,585,215,7ab20117-195b-5877-9372-fe4b76f9bd81
MiniDLL,Erin,eu,585,216,79540e6d-fce5-5a5d-9e1c-61b519260153
bucher,0110,eu,585,217,c8a50f10-d552-57e4-89ec-520ea95a35aa
WillyG,snk,eu,584,218,ef2ce1de-0d1e-5f75-bb9f-9ccd3d1aa734
4zr,111,eu,584,219,e53c514c-9483-57f0-af60-e49592b446d2
,,eu,583,220,
xerox C5,qqq,eu,583,221,3cb35cc5-1394-59cb-bc60-febca2400fc3
BaMoSs,sss,eu,582,222,3ca41528-3f1d-5fd4-9c5e-7d839ffb9063
kamakura,aaa,eu,582,223,8b99eee3-93bd-5bb9-88a9-3b58a7d47e09
BDX Naïl,SWBS,eu,582,224,60a54ad1-1cb2-5720-90db-cc9fc27db930
RippeR,zin,eu,581,225,b045b7d0-3f7d-58ad-a404-d14a402be5c5
bread,rwona,eu,581,226,18a2fc23-bc59-5f0c-9975-128dd6cee39f
Dollby,LUFFY,eu,581,227,42cacc12-7d64-544d-977a-7d1f14d80f3b
VdekJeNN,GOAT,eu,580,228,46dfb6ec-d0f5-52e3-8f54-ff8b0c146d16
Kairox,BEST,eu,580,229,66e38815-fbce-580a-a7d6-c8d58e3c4984
Frostt,Rigby,eu,578,230,86129399-5917-530f-bc45-91549d53974c
BARÇA stonezy,user1,eu,578,231,5cca7bb6-9c4f-5354-b201-382ba78c3b56
Entropy vinc,2008,eu,578,232,2e56963a-1455-583c-a21b-667fd0fa0b6d
SGE Ben,GOTY,eu,578,233,8dc0c9f4-fd44-5ce1-9791-c7a93061aa8f
AAkira,certi,eu,578,234,4ab32695-8ed1-5f20-9455-e2e7bf688925
LEO rehn,swe,eu,577,235,fb82f746-4e92-5fc4-9c7a-c2f47838834c
HooD RaT,padje,eu,577,236,8065a0e8-6cd8-5b60-8fd8-56105b14aece
kubfu,lis,eu,577,237,b4ca19b6-c2bf-5bd2-aa22-e287284b1838
existence,147,eu,577,238,5e013d65-57cd-5196-91ab-62b98dbf1921
mexicaneren,EUW,eu,576,239,8660ffe4-4921-59a0-adbc-956be6763209
Ciao,fps,eu,576,240,4479e566-2b59-557d-bd97-e16e07b44853
,,eu,575,241,
kabzi,fresh,eu,575,242,7718db71-e69d-5505-bd23-1aef79d43226
L4TROS,666,eu,575,243,b9fc0bb5-c18a-597b-af25-81d69eea98d7
PCF cNed,carry,eu,573,244,68ade1bc-9dd8-5207-9c7e-c9ebe01b9f76
Ace,XICX,eu,573,245,659fca8c-a20c-52f7-9a62-ccd687981d2c
PAY GORN FAN N1,FAN,eu,572,246,b1e1e5a1-a359-54e3-9b82-d0164c0a5375
SO 777,SoLo,eu,572,247,7f5816d8-0970-5903-a83a-ad53c1da69e6
Celasun,8812,eu,571,248,20876224-e07b-57b6-abdf-1df5093cfb5d
no equal,pure,eu,571,249,9c092755-91aa-51c5-899e-0c7f237d11e5
方法就是我,zdnab,eu,571,250,f901ec4b-adee-548b-b0e5-87115cab2d10
