name,tag,region,rr,rank,puuid
Kawahirako,N A 1,ap,522,342,48695210-822e-5630-ad62-b3882e58d011
타락파워전사,dora,ap,317,1333,b0751897-da05-5fa4-abff-886fff47ed10
kuromi,okc,ap,122,4990,e9ba1546-0298-59b7-9387-9ee574cff5c1
Ultimate Warrior,God,ap,603,168,7f57dc3d-d85f-5391-889d-1ff5d9cabebe
Ember,Night,ap,173,3409,6067bf5b-a2e0-501c-bda9-1db5c5aa41bf
Doc,Ghxst,ap,110,5615,4dcd1cd6-0274-57a8-a153-8738e5e66d63
iminyourwalls,real,ap,176,3339,bdc62cd5-0258-5c82-9cff-4522846ac4bc
Akdemon,007,ap,251,2015,a52a1c3d-838c-5229-98bc-bb20d67f6ff3
LFT SuMM1t,EzW1n,ap,121,5080,6228360a-953a-544f-926a-71dac9d3a504
SEN PLASTICEATER,öÖö,ap,158,3791,84cec7fa-7faa-5ca8-bc67-f4e1789ee608
invincible,0308,ap,109,5674,492cd244-5422-5825-a9d6-16ce83e333a2
ZerSax,HEEEE,ap,181,3229,dbb68d7d-4b1f-5bd3-a8f0-c49119941712
STAZY,RTNW,ap,490,490,d7c71239-c0a0-5a1f-acb2-abe314e9c3d7
Izumi,Mui,ap,198,2955,61354ee5-4567-5247-a855-03452e507545
너도이계정써봐,제2의행돌,ap,426,691,dd9f1a32-e0e5-5c0e-8272-b1415872436d
장원영,Bob,ap,121,5075,2377a0ef-5943-5231-a6e0-8464eb1b2999
ZephyrX,0202,ap,220,2405,c3ae5bab-32f8-5948-9768-152dd5559aae
roi,1901,ap,156,3844,543965db-7821-52ae-9c7b-657a82833cff
panpan,o口o,ap,134,4538,45756062-e7c7-5125-9ffe-9c7cf1e39b90
ENVY ion2x,xriz,ap,352,1095,ba654f25-1843-5d52-adb2-334ab5783f72
Kero,elite,ap,113,5476,de2966c4-085d-5200-a595-0e4adfd4dce6
abdul Arez1n,ongeh,ap,168,3548,4c37a19f-05db-5902-a0bf-5ce92a9fb232
MIBR aglez,moni,ap,121,5071,a3d4a951-4cc6-5ea8-ad08-d22fa78f6709
synx,RXSA,ap,262,1854,279025da-f61e-5dc8-8624-640e1ca3f5f0
Dopeboyz,nba,ap,277,1699,21d80108-f2cb-58de-9665-efe0396b546d
まみむ,memo,ap,206,2738,349e78d2-43d6-598d-82ce-fe20ad1de5a8
Tiktok haririn,neon,ap,227,2311,bc8259bc-e20e-5757-b83b-1ab245236c4b
しょうきんぐ,裸の王,ap,295,1533,4755e5b8-60c8-572c-b6e3-ced0d9d5b4c9
zekkenfan,iltt,ap,121,5068,1b4e3bb2-f81e-568c-a0c7-2f7446603138
O1 LastHope,RONIN,ap,213,2545,c18b0131-601c-58b1-8dd1-71ebb8ca629c
Nagi Seishiro,Z3AST,ap,228,2299,26335f86-e0d2-5bf9-80f2-02d95fca6f59
Glimpse of us,mnst,ap,201,2882,3b143c04-c87b-57bc-b0da-8644fc24dd31
Kyusan,1150,ap,301,1478,6a26d8be-88dc-57bd-abcf-ed655fa04297
こなにい,loewe,ap,115,5376,23b7b1a3-4a5e-5738-95b6-63a2a7af3e35
明日もDEUS,kkkkk,ap,374,987,c94da5a4-fbd7-5dde-8d6b-43b0cb2e2562
klo1dzinho,risha,ap,116,5301,3d02d91a-4669-5322-8c0f-ee000d357015
君はa,56ss,ap,233,2243,4d365fe1-9e1c-53d7-acd7-436edcba58ab
Saccharin,228,ap,226,2316,b1fff899-c7dd-5c7a-bc2c-c2a274e3bab0
banされた野獣先輩です,なああああ,ap,225,2339,39b9693d-37ce-5836-b302-1a36dafd5f51
Seal,Lions,ap,190,3084,b8cdd868-2596-5895-8b2d-8e0faadf552d
idkman,9294,ap,147,4102,afe67937-ff40-552e-8a38-7b6ca7537735
多拉A猛,9999,ap,126,4864,7b8d88a8-825f-513d-97fa-8eb7bc0bc090
jewathan,o6ur,ap,545,276,a17745ae-3cc3-57d4-9ea2-5cda89dd3c95
Shohei Ohtani,1127,ap,413,747,9d7b6690-cd18-56ae-9c92-779c68915e2d
Secret Fighting,000,ap,287,1592,788ab97c-2ab2-550d-91ed-84c0d1f1c62d
Dont try Me,1tap,ap,203,2832,71192a0b-1ea2-56c9-bf70-2d3e7722a272
Angel Goat,8888,ap,125,4885,3fc41e39-3b9c-5c58-af14-a366c4c057bb
g0nk,0065,ap,112,5551,8f5a15eb-da04-5eee-91a2-7478f6a5b7f8
subyy,ezez,ap,400,829,560bd524-953b-5f39-b738-0de28f35bb44
tenmazin,about,ap,111,5569,043a1de7-81d9-5e1b-bc7d-8d438dbb24aa
Alexander Mahone,eami,ap,144,4199,90e5990e-94b8-5ed8-8f77-70436dd1d6dc
sin61,kkkk,ap,198,2951,6e22629d-c982-525c-8334-7eabd2cd9130
tavin do birulin,9176,ap,125,4901,7e6accc0-076b-531c-9c2a-2ad7c163d149
